user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,source,is_retweet,cleaned_text,sentiment_label,sentiment_score
the _ûndër-ratèd niggáh👊🏾,,"@ManUtd die hard❤️❤️💪🏿💪🏿


YOLO


J'ai besoin de quelqu'un qui peut m'aimer au pire🤗
Non, je ne suis pas parfait, mais j'espère que tu vois ma valeur🤞🏾",2019-09-06 19:24:57+00:00,581,1035,8922,False,2021-10-06 12:05:38+00:00,"When life hits and the same time poverty strikes you
Gong Yoo : Lets play a game
#SquidGame #Netflix https://t.co/Cx7ifmZ8cN",Twitter for Android,False,life hit time poverty strike gong yoo let play game squidgame netflix,Negative,-0.34
Best uncle on planet earth,,,2013-05-08 19:35:26+00:00,741,730,8432,False,2021-10-06 12:05:22+00:00,That marble episode of #SquidGame  ruined me. 😭😭😭,Twitter for Android,False,marble episode squidgame ruined,Negative,-0.4767
marcie,,animal crossing. chicken nuggets. baby yoda. smol animals. tv shows. 🏳️‍🌈 pronouns: any,2009-02-21 10:31:30+00:00,562,1197,62732,False,2021-10-06 12:05:22+00:00,#Squidgame time,Twitter Web App,False,squidgame time,Neutral,0.0
YoMo.Mdp,Any pronouns ,"Where the heck is the karma
I'm going on my school grave brb
#Technosupport",2021-02-14 13:21:22+00:00,3,277,1341,False,2021-10-06 12:05:04+00:00,"//Blood on 1st slide
I'm joining the squidgame thing, I'm already dead by sugar honeycomb ofc

#SquidGame… https://t.co/N4UGv9hxx8",Twitter Web App,False,blood st slide im joining squidgame thing im already dead sugar honeycomb ofc squidgame,Negative,-0.6486
Laura Reactions,France,I talk and I make reactions videos about shows I love #theexpanse #peakyblinders #thelastkingdom #lacasadepapel #atla #theboys #thewitcher,2018-12-19 20:38:28+00:00,330,152,2278,False,2021-10-06 12:05:00+00:00,"The two first games, players were killed by the mask guys ; the bloody night and the third game, they killed each o… https://t.co/Qf057XDJ7C",Twitter Web App,False,two first game player killed mask guy bloody night third game killed,Negative,-0.9169
Peyman 🅚🅐🅘,United Kingdom,"Official @KardiaChain $KAI Ambassador
Marketing Advisor @kephigallery
Graphics and Film Artist https://t.co/OsTOSEKrHt",2018-01-27 12:07:31+00:00,546,318,6265,False,2021-10-06 12:04:54+00:00,"$THG
Going to explode to 4B Marketcap very soon.
The world first MOBA
This game is on another level!
@KardiaChain… https://t.co/4Y2bO088JM",Twitter for Android,False,thg going explode b marketcap soon world first moba game another level,Neutral,0.0
Aeriaaaa♡,,Fujoshi 🙈/ Thai BL-obsessed/Always distracted by poetry 🌸/ CAP ♑🐐,2021-06-01 14:08:10+00:00,14,110,518,False,2021-10-06 12:04:45+00:00,"@B_hundred_Hyun pls use that gun on me. 😩

#BAEKHYUN #EXO #weareoneEXO #SquidGame https://t.co/kskiH0GRHn",Twitter for Android,False,pls use gun baekhyun exo weareoneexo squidgame,Negative,-0.2732
BarBiE Fábregas 🇿🇦,South Africa,Legal Administrator👩🏾‍💻|Soccer Fanatic⚽️ #DailySoccerPollWithAngela,2011-03-28 18:56:28+00:00,1877,2057,33186,False,2021-10-06 12:04:26+00:00,"Please vote in my daily poll.
Thanks. 😊

Do you think Donny van de Beek should leave Manchester United?
Yes OR No?… https://t.co/9CnadB5iYo",Twitter for iPhone,False,please vote daily poll thanks think donny van de beek leave manchester united yes,Positive,0.8591
Joel D. Parker,,"Ph.D. in history of 20th century Levant. Sometimes tweet on topics outside my field. Twitter is okay. Lots of other things are better. So I try to do them, too.",2010-07-01 07:26:44+00:00,621,1346,5345,False,2021-10-06 12:04:22+00:00,"I've seen bi-lingual Korean speakers slam the #SquidGame translation, but I could feel the quality of the writing d… https://t.co/CyqOXHb1kK",Twitter Web App,False,ive seen bilingual korean speaker slam squidgame translation could feel quality writing,Negative,-0.3818
Kevin Franco,"Calgary, Canada","When it comes to describing myself in a one line bio, I always seem to use too many words, this time though, I will abide by the character count and tell you ab",2009-05-11 20:14:51+00:00,1027,278,20902,False,2021-10-06 12:04:10+00:00,I discovered English audio after 5 episodes of Squid Game in Korean with subtitles. I'm used to watching foreign fi… https://t.co/5oMJ0KBXqL,Twitter Web App,False,discovered english audio episode squid game korean subtitle im used watching foreign fi,Neutral,0.0
